name,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
PF3D7_0420700,-225.64639280047888,-235.30380059426247,-231.7695730912669,-266.4706088560111,-251.17598575700998,-257.12590887029825,-230.54972881118712,-251.49666414903743,-232.92456100461828,-258.2576105420869,-240.2852080819056,-258.82993993070977,-231.0475560121648,-270.105704586943,-248.0539128861899,-275.2704197359722,-246.7201913635961,-290.72804880951253,-256.55620450247557,-231.71914702201636,-264.9605971778222,-235.30380059426247,-256.323312933142,-255.70621892233757,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247
PF3D7_0420900,-225.64639280047888,-235.30380059426247,-231.7695730912669,-266.4706088560111,-251.17598575700998,-257.12590887029825,-230.54972881118712,-251.49666414903743,-232.92456100461828,-258.2576105420869,-240.2852080819056,-258.82993993070977,-231.0475560121648,-270.105704586943,-248.0539128861899,-275.2704197359722,-246.7201913635961,-290.72804880951253,-256.55620450247557,-231.71914702201636,-264.9605971778222,-235.30380059426247,-256.323312933142,-255.70621892233757,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247,-235.30380059426247
PF3D7_0712600,-257.9446872085132,-270.53648586788046,-279.2883265711645,-293.3269300643744,-309.37916135543975,-280.47479629729935,-270.7696827773287,-275.19949703715827,-274.3422833805762,-295.9165630133705,-289.24304097957,-275.4125605957457,-261.5327873917734,-311.80423105575755,-287.84250310431673,-304.53153217273217,-292.8407194084186,-321.8472012353962,-274.5388429473657,-273.689189222014,-314.6298587296345,-270.53648586788046,-293.16944521917844,-297.9587733320251,-270.53648586788046,-270.53648586788046,-270.53648586788046,-270.53648586788046,-270.53648586788046,-270.53648586788046,-270.53648586788046,-270.53648586788046,-270.53648586788046
PF3D7_1240600,-233.85659149624004,-245.88756397722625,-232.5590524060994,-275.8674089401993,-261.36642618312766,-255.7943023557308,-244.58436460294783,-249.31376978931584,-219.41437615385436,-266.7296389473669,-255.91180971053728,-262.85435981722986,-226.85772730330538,-281.05328083278124,-255.34505702442266,-288.4383418944827,-257.94846400781785,-295.58219441499915,-271.6988448083209,-241.78576707846597,-278.5896368467584,-245.88756397722625,-258.42788293574,-259.62836447900156,-245.88756397722625,-245.88756397722625,-245.88756397722625,-245.88756397722625,-245.88756397722625,-245.88756397722625,-245.88756397722625,-245.88756397722625,-245.88756397722625
PF3D7_0712000,-241.77130513441546,-250.31880572749836,-252.3273358643764,-281.83959730297727,-287.25181161660646,-270.42649901202503,-250.79938181448284,-258.3746116272215,-256.7217102460126,-271.27088388539136,-267.3540685236148,-249.9236523235553,-249.84323196155958,-289.4478300082238,-261.4382350589321,-290.9654644219604,-266.0003523856274,-302.8124746443129,-277.9250940595501,-252.85426855733272,-291.82204293158975,-250.31880572749836,-268.77418624287196,-271.48019205555846,-250.31880572749836,-250.31880572749836,-250.31880572749836,-250.31880572749836,-250.31880572749836,-250.31880572749836,-250.31880572749836,-250.31880572749836,-250.31880572749836
PF3D7_1240900,-233.66873858730045,-243.02387434332903,-236.25580077635703,-266.29503290774505,-268.47866623129323,-258.40232786504157,-241.6291574560498,-260.4593794004334,-232.67373517549257,-261.17790640693346,-255.15110713767578,-257.1228401023708,-239.4036004240578,-280.2953275963944,-247.02100866830526,-276.96504691633527,-245.6136220187967,-284.9084389209754,-266.1207386589447,-234.71567317286306,-274.9993524576219,-243.02387434332903,-252.07365108440436,-252.15106669136114,-243.02387434332903,-243.02387434332903,-243.02387434332903,-243.02387434332903,-243.02387434332903,-243.02387434332903,-243.02387434332903,-243.02387434332903,-243.02387434332903
PF3D7_0412700,-244.95625264457072,-261.7021507461575,-262.0905033544331,-295.5548476103486,-285.8209972265225,-251.64884555208755,-260.8395241949092,-286.78747026669,-249.7524420886618,-288.5649284659529,-271.31493228055393,-287.93113094925076,-264.7554642916105,-298.9434295895973,-262.9269295832227,-310.3628047007852,-276.9823711951902,-322.2156684432619,-286.9168253424951,-259.04010291148074,-305.43857235367136,-261.7021507461575,-281.6258820335287,-279.845496253181,-261.7021507461575,-261.7021507461575,-261.7021507461575,-261.7021507461575,-261.7021507461575,-261.7021507461575,-261.7021507461575,-261.7021507461575,-261.7021507461575
PF3D7_0412900,-259.00455909436164,-272.0800183158137,-248.89836488287526,-300.1035937490458,-300.9904314592675,-266.8862476489624,-269.6180989004043,-297.0340506418701,-276.1092798913209,-295.5339105180043,-277.4780907734009,-293.21361341298046,-275.2209300635768,-303.1212371402113,-268.3313670467645,-315.04577775272514,-296.3690686690101,-326.27913891816905,-293.1506991119949,-273.83645734000334,-318.28156093401884,-272.0800183158137,-289.2778223480065,-286.7926773102814,-272.0800183158137,-272.0800183158137,-272.0800183158137,-272.0800183158137,-272.0800183158137,-272.0800183158137,-272.0800183158137,-272.0800183158137,-272.0800183158137
PF3D7_0421300,-243.25262754832667,-244.34633667113866,-257.2591664004528,-281.87693542818045,-274.38385030915873,-259.616552278997,-253.3259975876304,-273.5503457896678,-248.9930574949374,-267.85488031443424,-264.56602288738867,-246.13252743934933,-249.4480986548064,-291.8137394669243,-264.93951495255044,-250.28632143558858,-224.17327290915745,-234.60887135780067,-274.81359961448806,-248.47611152128061,-285.46637745462976,-244.34633667113866,-265.9833313785,-268.30813289849345,-244.34633667113866,-244.34633667113866,-244.34633667113866,-244.34633667113866,-244.34633667113866,-244.34633667113866,-244.34633667113866,-244.34633667113866,-244.34633667113866
PF3D7_0711700,-239.14577447624683,-251.5546338579426,-264.15825442277634,-288.43566574451637,-282.6146461292497,-253.88339667230062,-254.6895895435366,-267.044318180741,-258.43452073976795,-275.9487809185962,-274.61995681501185,-229.94652130425155,-257.2418963060702,-299.66115962757397,-272.9012095304276,-254.08548167007243,-239.59314312412772,-275.2289537460284,-280.01667736678655,-263.64832903901663,-298.84538998857914,-251.5546338579426,-279.15804005009204,-285.1096600062656,-251.5546338579426,-251.5546338579426,-251.5546338579426,-251.5546338579426,-251.5546338579426,-251.5546338579426,-251.5546338579426,-251.5546338579426,-251.5546338579426
PF3D7_0412400,-253.2342706971485,-267.4411592926452,-249.5643127968912,-294.3339052196981,-272.83104107054567,-265.14690162600243,-260.9751522181403,-282.9510660063462,-249.9305126208082,-293.53891359294136,-266.9314329557113,-285.6700476463843,-264.7440340215797,-312.5178721766595,-269.5773556764306,-315.49226515857004,-265.82447878922034,-325.4623116582448,-302.38530166192345,-254.2432620260511,-301.1632741273405,-267.4411592926452,-280.99120975524954,-276.6392515425593,-267.4411592926452,-267.4411592926452,-267.4411592926452,-267.4411592926452,-267.4411592926452,-267.4411592926452,-267.4411592926452,-267.4411592926452,-267.4411592926452
PF3D7_0712900,-227.95495195817688,-234.43649779883617,-236.94608669223345,-249.90482730559873,-251.3053263704818,-254.97063793372615,-224.93220505717534,-249.51788034173399,-237.7462591443606,-254.84236602086767,-247.5865663829897,-257.4595877591102,-214.89237020036384,-262.81568172575743,-250.55491296462327,-272.3501528517452,-257.4977118318015,-292.76963170724554,-254.60260029398924,-238.95952423129555,-266.3891374226104,-234.43649779883617,-256.14957476352583,-255.02724412049807,-234.43649779883617,-234.43649779883617,-234.43649779883617,-234.43649779883617,-234.43649779883617,-234.43649779883617,-234.43649779883617,-234.43649779883617,-234.43649779883617
Pf7G8_080013800,-258.41885488785135,-262.89901549003275,-253.6214259940938,-276.6868052646342,-247.49163329623707,-264.8877819748419,-246.66096284349535,-278.6516762710249,-254.89658820468404,-286.0253754919713,-259.938647130352,-281.748442578416,-263.3090953179132,-307.35285290465265,-255.1879304803753,-303.6656190810704,-278.29440940297934,-317.1384694629767,-286.46449282777456,-242.40617255515522,-290.47722545585873,-262.89901549003275,-279.2296567413754,-273.2176891578322,-262.89901549003275,-262.89901549003275,-262.89901549003275,-262.89901549003275,-262.89901549003275,-262.89901549003275,-262.89901549003275,-262.89901549003275,-262.89901549003275
Pf7G8_070017600,-265.31200785097167,-276.19328589142106,-263.0392705577393,-305.3132543797059,-285.9416469161407,-267.74964343302344,-277.37046724592363,-286.6174216222446,-280.134680426411,-304.67804505308726,-276.82409477727595,-287.8185252592129,-283.78725863935904,-323.9881809871665,-269.70750172574293,-324.22245152167915,-293.35558546574987,-338.41284999571894,-298.81505913076944,-264.7494560857791,-315.8170584032108,-276.19328589142106,-296.78130888549856,-294.8595788050418,-276.19328589142106,-276.19328589142106,-276.19328589142106,-276.19328589142106,-276.19328589142106,-276.19328589142106,-276.19328589142106,-276.19328589142106,-276.19328589142106
Pf7G8_070017300,-228.43921330884777,-216.94867396462922,-238.01259260687448,-233.95992710034932,-263.3129068349463,-257.76560723303317,-227.89317980322406,-253.44253432015176,-245.85062417787378,-221.47191138125174,-236.19913441960264,-225.8501312611296,-228.7332725164812,-230.41505136324318,-231.26744466521126,-196.563286607867,-228.1844802751095,-227.512824269676,-219.80650628769234,-239.92685744251088,-240.48745637973386,-216.94867396462922,-230.07088340625853,-227.1652269129792,-216.94867396462922,-216.94867396462922,-216.94867396462922,-216.94867396462922,-216.94867396462922,-216.94867396462922,-216.94867396462922,-216.94867396462922,-216.94867396462922
Pf7G8_040017600,-244.70832748835176,-247.648154285227,-245.6931432516491,-265.8830455226091,-267.6645575452541,-260.29984108286277,-241.13974721391483,-265.94334772634636,-246.78904404519864,-265.08179606864013,-245.00117927559393,-274.32023266605154,-251.55244651813518,-282.63181063663365,-250.83205551540527,-287.4041141118023,-263.02553240882526,-287.1061266788898,-268.22310911387086,-241.56910632918922,-280.42786308642894,-247.648154285227,-252.54145778208468,-249.96096091747216,-247.648154285227,-247.648154285227,-247.648154285227,-247.648154285227,-247.648154285227,-247.648154285227,-247.648154285227,-247.648154285227,-247.648154285227
Pf7G8_120046600,-255.04658148631296,-248.56991507970767,-243.78867618973726,-258.45411743316225,-268.4072724217939,-263.88563848247105,-248.04048345568734,-272.31248171345675,-265.6552392448679,-268.9277166303721,-245.1544432108005,-278.75213627274184,-265.2168290975495,-282.51133035414125,-242.77571467119554,-280.8398778673545,-285.15724370076265,-300.81281266522745,-265.90047443478556,-238.39511362876274,-278.9112791348208,-248.56991507970767,-249.49463882985773,-255.15978145324686,-248.56991507970767,-248.56991507970767,-248.56991507970767,-248.56991507970767,-248.56991507970767,-248.56991507970767,-248.56991507970767,-248.56991507970767,-248.56991507970767
Pf7G8_120046200,-256.69667426294376,-275.13153444176453,-258.59341672379344,-303.0686656376754,-282.339708883709,-261.5307206436329,-266.21024752551233,-287.53832767549346,-263.5207463941772,-305.0880070543118,-281.44237818638203,-291.0177230523992,-270.85053004785294,-320.06405896105144,-283.1043198224384,-323.2252389706078,-277.82838233279364,-334.5898804679871,-305.6057708889998,-257.8311540280478,-325.53131954075485,-275.13153444176453,-296.11672979718816,-296.57016159929384,-275.13153444176453,-275.13153444176453,-275.13153444176453,-275.13153444176453,-275.13153444176453,-275.13153444176453,-275.13153444176453,-275.13153444176453,-275.13153444176453
Pf7G8_040025600,-271.3792298356935,-274.82882553399173,-280.7080588512104,-310.04347771148446,-318.59997416625856,-304.4151007927798,-279.70566953179883,-270.11201022123396,-287.6459504607945,-302.13349593465625,-288.50413359427074,-256.6087173545054,-280.87524819681005,-326.8987496639985,-283.73809392501727,-286.04177001071616,-272.07518316117546,-296.1482236858289,-303.1391993747075,-271.5128251647661,-317.71169469304897,-274.82882553399173,-302.8639046529809,-304.37601915345067,-274.82882553399173,-274.82882553399173,-274.82882553399173,-274.82882553399173,-274.82882553399173,-274.82882553399173,-274.82882553399173,-274.82882553399173,-274.82882553399173
Pf7G8_080014200,-271.868115344183,-280.6670850444782,-276.7129418349606,-289.61554628447567,-299.48245303186457,-284.5848050879332,-270.02804381170085,-309.8986078190258,-289.0936473676564,-307.54974832340065,-266.9064952609787,-306.0679900863503,-277.9099480933192,-310.21090471230895,-288.26378896597885,-316.32735225455633,-295.7572992476158,-333.0392859537348,-303.88121144384223,-273.38905279306573,-320.8067771954596,-280.6670850444782,-302.6895022446836,-302.0697210271908,-280.6670850444782,-280.6670850444782,-280.6670850444782,-280.6670850444782,-280.6670850444782,-280.6670850444782,-280.6670850444782,-280.6670850444782,-280.6670850444782
